,date,season,hour,holiday,weekday,workingday,weather,casual,registered,count
49,2011-01-03,1,4,0,1,1,1,0,1,1
50,2011-01-03,1,5,0,1,1,1,0,3,3
51,2011-01-03,1,6,0,1,1,1,0,30,30
52,2011-01-03,1,7,0,1,1,1,1,63,64
53,2011-01-03,1,8,0,1,1,1,1,153,154
54,2011-01-03,1,9,0,1,1,1,7,81,88
55,2011-01-03,1,10,0,1,1,1,11,33,44
56,2011-01-03,1,11,0,1,1,1,10,41,51
57,2011-01-03,1,12,0,1,1,1,13,48,61
58,2011-01-03,1,13,0,1,1,1,8,53,61
59,2011-01-03,1,14,0,1,1,1,11,66,77
60,2011-01-03,1,15,0,1,1,1,14,58,72
61,2011-01-03,1,16,0,1,1,1,9,67,76
62,2011-01-03,1,17,0,1,1,1,11,146,157
63,2011-01-03,1,18,0,1,1,1,9,148,157
64,2011-01-03,1,19,0,1,1,1,8,102,110
65,2011-01-03,1,20,0,1,1,1,3,49,52
66,2011-01-03,1,21,0,1,1,1,3,49,52
67,2011-01-03,1,22,0,1,1,1,0,20,20
68,2011-01-03,1,23,0,1,1,1,1,11,12
69,2011-01-04,1,0,0,2,1,1,0,5,5
70,2011-01-04,1,1,0,2,1,1,0,2,2
71,2011-01-04,1,2,0,2,1,1,0,1,1
72,2011-01-04,1,4,0,2,1,1,0,2,2
73,2011-01-04,1,5,0,2,1,1,0,4,4
74,2011-01-04,1,6,0,2,1,1,0,36,36
75,2011-01-04,1,7,0,2,1,1,2,92,94
76,2011-01-04,1,8,0,2,1,1,2,177,179
77,2011-01-04,1,9,0,2,1,1,2,98,100
78,2011-01-04,1,10,0,2,1,2,5,37,42
79,2011-01-04,1,11,0,2,1,1,7,50,57
80,2011-01-04,1,12,0,2,1,1,12,66,78
81,2011-01-04,1,13,0,2,1,1,18,79,97
82,2011-01-04,1,14,0,2,1,1,9,54,63
83,2011-01-04,1,15,0,2,1,1,17,48,65
84,2011-01-04,1,16,0,2,1,1,15,68,83
85,2011-01-04,1,17,0,2,1,1,10,202,212
86,2011-01-04,1,18,0,2,1,1,3,179,182
87,2011-01-04,1,19,0,2,1,1,2,110,112
88,2011-01-04,1,20,0,2,1,1,1,53,54
89,2011-01-04,1,21,0,2,1,1,0,48,48
90,2011-01-04,1,22,0,2,1,1,1,34,35
91,2011-01-04,1,23,0,2,1,1,2,9,11
92,2011-01-05,1,0,0,3,1,1,0,6,6
93,2011-01-05,1,1,0,3,1,1,0,6,6
94,2011-01-05,1,2,0,3,1,1,0,2,2
95,2011-01-05,1,4,0,3,1,1,0,2,2
96,2011-01-05,1,5,0,3,1,1,0,3,3
97,2011-01-05,1,6,0,3,1,1,0,33,33
98,2011-01-05,1,7,0,3,1,1,1,87,88
99,2011-01-05,1,8,0,3,1,1,3,192,195
100,2011-01-05,1,9,0,3,1,1,6,109,115
101,2011-01-05,1,10,0,3,1,1,4,53,57
102,2011-01-05,1,11,0,3,1,1,12,34,46
103,2011-01-05,1,12,0,3,1,1,5,74,79
104,2011-01-05,1,13,0,3,1,1,6,65,71
105,2011-01-05,1,14,0,3,1,1,10,52,62
106,2011-01-05,1,15,0,3,1,1,7,55,62
107,2011-01-05,1,16,0,3,1,1,4,85,89
108,2011-01-05,1,17,0,3,1,1,4,186,190
109,2011-01-05,1,18,0,3,1,1,3,166,169
110,2011-01-05,1,19,0,3,1,1,5,127,132
111,2011-01-05,1,20,0,3,1,1,7,82,89
112,2011-01-05,1,21,0,3,1,1,3,40,43
113,2011-01-05,1,22,0,3,1,1,1,41,42
114,2011-01-05,1,23,0,3,1,1,1,18,19
115,2011-01-06,1,0,0,4,1,1,0,11,11
116,2011-01-06,1,1,0,4,1,1,0,4,4
117,2011-01-06,1,2,0,4,1,1,0,2,2
118,2011-01-06,1,4,0,4,1,2,0,1,1
119,2011-01-06,1,5,0,4,1,2,0,4,4
120,2011-01-06,1,6,0,4,1,2,0,36,36
121,2011-01-06,1,7,0,4,1,2,0,95,95
122,2011-01-06,1,8,0,4,1,1,3,216,219
123,2011-01-06,1,9,0,4,1,2,6,116,122
124,2011-01-06,1,10,0,4,1,1,3,42,45
125,2011-01-06,1,11,0,4,1,1,2,57,59
126,2011-01-06,1,12,0,4,1,1,6,78,84
127,2011-01-06,1,13,0,4,1,1,12,55,67
128,2011-01-06,1,14,0,4,1,1,11,59,70
129,2011-01-06,1,15,0,4,1,1,8,54,62
130,2011-01-06,1,16,0,4,1,1,12,74,86
131,2011-01-06,1,17,0,4,1,1,9,163,172
132,2011-01-06,1,18,0,4,1,1,5,158,163
133,2011-01-06,1,19,0,4,1,1,3,109,112
134,2011-01-06,1,20,0,4,1,1,3,66,69
135,2011-01-06,1,21,0,4,1,2,0,48,48
136,2011-01-06,1,22,0,4,1,2,1,51,52
137,2011-01-06,1,23,0,4,1,2,4,19,23
138,2011-01-07,1,0,0,5,1,2,4,13,17
139,2011-01-07,1,1,0,5,1,2,2,5,7
140,2011-01-07,1,2,0,5,1,2,0,1,1
141,2011-01-07,1,4,0,5,1,2,0,1,1
142,2011-01-07,1,5,0,5,1,3,0,5,5
143,2011-01-07,1,6,0,5,1,2,8,26,34
144,2011-01-07,1,7,0,5,1,1,8,76,84
145,2011-01-07,1,8,0,5,1,1,20,190,210
146,2011-01-07,1,9,0,5,1,1,9,125,134
147,2011-01-07,1,10,0,5,1,1,16,47,63
148,2011-01-07,1,11,0,5,1,2,19,48,67
149,2011-01-07,1,12,0,5,1,2,9,50,59
150,2011-01-07,1,13,0,5,1,2,9,64,73
151,2011-01-07,1,14,0,5,1,2,7,43,50
152,2011-01-07,1,15,0,5,1,2,9,63,72
153,2011-01-07,1,16,0,5,1,2,5,82,87
154,2011-01-07,1,17,0,5,1,2,9,178,187
155,2011-01-07,1,18,0,5,1,1,7,116,123
156,2011-01-07,1,19,0,5,1,1,3,92,95
157,2011-01-07,1,20,0,5,1,1,1,50,51
158,2011-01-07,1,21,0,5,1,1,0,39,39
159,2011-01-07,1,22,0,5,1,2,2,34,36
160,2011-01-07,1,23,0,5,1,2,1,14,15
161,2011-01-08,1,0,0,6,0,2,1,24,25
162,2011-01-08,1,1,0,6,0,2,1,15,16
163,2011-01-08,1,2,0,6,0,2,3,13,16
164,2011-01-08,1,3,0,6,0,3,0,7,7
165,2011-01-08,1,4,0,6,0,3,0,1,1
166,2011-01-08,1,5,0,6,0,2,0,5,5
167,2011-01-08,1,6,0,6,0,2,0,2,2
168,2011-01-08,1,7,0,6,0,2,1,8,9
169,2011-01-08,1,8,0,6,0,3,0,15,15
170,2011-01-08,1,9,0,6,0,3,0,20,20
171,2011-01-08,1,10,0,6,0,2,5,56,61
172,2011-01-08,1,11,0,6,0,2,2,60,62
173,2011-01-08,1,12,0,6,0,2,8,90,98
174,2011-01-08,1,13,0,6,0,1,7,95,102
175,2011-01-08,1,14,0,6,0,1,12,83,95
176,2011-01-08,1,15,0,6,0,1,5,69,74
177,2011-01-08,1,16,0,6,0,1,8,68,76
178,2011-01-08,1,17,0,6,0,1,5,64,69
179,2011-01-08,1,18,0,6,0,1,3,52,55
180,2011-01-08,1,19,0,6,0,1,4,26,30
181,2011-01-08,1,20,0,6,0,1,0,28,28
182,2011-01-08,1,21,0,6,0,1,2,35,37
183,2011-01-08,1,22,0,6,0,1,1,33,34
184,2011-01-08,1,23,0,6,0,1,0,22,22
185,2011-01-09,1,0,0,0,0,1,1,24,25
186,2011-01-09,1,1,0,0,0,1,0,12,12
187,2011-01-09,1,2,0,0,0,1,0,11,11
188,2011-01-09,1,3,0,0,0,1,0,4,4
189,2011-01-09,1,4,0,0,0,1,0,1,1
190,2011-01-09,1,5,0,0,0,1,0,1,1
191,2011-01-09,1,6,0,0,0,1,0,1,1
192,2011-01-09,1,7,0,0,0,1,1,5,6
193,2011-01-09,1,8,0,0,0,1,0,10,10
194,2011-01-09,1,9,0,0,0,1,0,19,19
195,2011-01-09,1,10,0,0,0,1,0,49,49
196,2011-01-09,1,11,0,0,0,1,2,47,49
197,2011-01-09,1,12,0,0,0,1,4,79,83
198,2011-01-09,1,13,0,0,0,1,6,69,75
199,2011-01-09,1,14,0,0,0,1,8,64,72
200,2011-01-09,1,15,0,0,0,1,5,77,82
201,2011-01-09,1,16,0,0,0,1,13,79,92
202,2011-01-09,1,17,0,0,0,1,3,59,62
203,2011-01-09,1,18,0,0,0,1,4,44,48
204,2011-01-09,1,19,0,0,0,1,1,40,41
205,2011-01-09,1,20,0,0,0,1,0,38,38
206,2011-01-09,1,21,0,0,0,1,1,19,20
207,2011-01-09,1,22,0,0,0,1,5,10,15
208,2011-01-09,1,23,0,0,0,1,0,6,6
209,2011-01-10,1,0,0,1,1,1,2,3,5
210,2011-01-10,1,1,0,1,1,1,1,0,1
211,2011-01-10,1,2,0,1,1,1,0,3,3
212,2011-01-10,1,3,0,1,1,1,0,1,1
213,2011-01-10,1,4,0,1,1,1,1,2,3
214,2011-01-10,1,5,0,1,1,1,0,3,3
215,2011-01-10,1,6,0,1,1,1,0,31,31
216,2011-01-10,1,7,0,1,1,1,2,75,77
217,2011-01-10,1,8,0,1,1,2,4,184,188
218,2011-01-10,1,9,0,1,1,2,2,92,94
219,2011-01-10,1,10,0,1,1,2,0,31,31
220,2011-01-10,1,11,0,1,1,2,2,28,30
221,2011-01-10,1,12,0,1,1,2,5,47,52
222,2011-01-10,1,13,0,1,1,2,4,50,54
223,2011-01-10,1,14,0,1,1,2,0,47,47
224,2011-01-10,1,15,0,1,1,2,2,43,45
225,2011-01-10,1,16,0,1,1,1,4,70,74
226,2011-01-10,1,17,0,1,1,1,4,174,178
227,2011-01-10,1,18,0,1,1,1,1,154,155
228,2011-01-10,1,19,0,1,1,1,3,92,95
229,2011-01-10,1,20,0,1,1,1,1,73,74
230,2011-01-10,1,21,0,1,1,1,1,37,38
231,2011-01-10,1,22,0,1,1,1,2,22,24
232,2011-01-10,1,23,0,1,1,1,0,18,18
233,2011-01-11,1,0,0,2,1,1,2,10,12
234,2011-01-11,1,1,0,2,1,1,0,3,3
235,2011-01-11,1,2,0,2,1,2,0,3,3
236,2011-01-11,1,5,0,2,1,2,0,6,6
237,2011-01-11,1,6,0,2,1,2,0,27,27
238,2011-01-11,1,7,0,2,1,2,2,97,99
239,2011-01-11,1,8,0,2,1,2,3,214,217
240,2011-01-11,1,9,0,2,1,2,3,127,130
241,2011-01-11,1,10,0,2,1,2,3,51,54
242,2011-01-11,1,11,0,2,1,2,4,31,35
243,2011-01-11,1,12,0,2,1,2,2,55,57
244,2011-01-11,1,13,0,2,1,2,6,46,52
245,2011-01-11,1,14,0,2,1,2,3,60,63
246,2011-01-11,1,15,0,2,1,2,2,45,47
247,2011-01-11,1,16,0,2,1,2,4,72,76
248,2011-01-11,1,17,0,2,1,2,6,130,136
249,2011-01-11,1,18,0,2,1,3,1,94,95
250,2011-01-11,1,19,0,2,1,3,0,51,51
251,2011-01-11,1,20,0,2,1,3,0,32,32
252,2011-01-11,1,21,0,2,1,3,0,20,20
253,2011-01-11,1,22,0,2,1,3,1,28,29
254,2011-01-11,1,23,0,2,1,3,1,18,19
255,2011-01-12,1,0,0,3,1,2,0,7,7
256,2011-01-12,1,1,0,3,1,2,0,6,6
257,2011-01-12,1,2,0,3,1,1,0,1,1
258,2011-01-12,1,5,0,3,1,1,0,5,5
259,2011-01-12,1,6,0,3,1,1,0,16,16
260,2011-01-12,1,7,0,3,1,1,0,54,54
261,2011-01-12,1,8,0,3,1,1,3,125,128
262,2011-01-12,1,9,0,3,1,1,3,78,81
263,2011-01-12,1,10,0,3,1,1,0,39,39
264,2011-01-12,1,11,0,3,1,1,3,32,35
265,2011-01-12,1,12,0,3,1,1,3,52,55
266,2011-01-12,1,13,0,3,1,1,0,49,49
267,2011-01-12,1,14,0,3,1,1,0,44,44
268,2011-01-12,1,15,0,3,1,1,1,48,49
269,2011-01-12,1,16,0,3,1,1,5,63,68
270,2011-01-12,1,17,0,3,1,1,0,139,139
271,2011-01-12,1,18,0,3,1,1,2,135,137
272,2011-01-12,1,19,0,3,1,1,1,82,83
273,2011-01-12,1,20,0,3,1,1,2,54,56
274,2011-01-12,1,21,0,3,1,1,0,57,57
275,2011-01-12,1,22,0,3,1,1,1,32,33
276,2011-01-12,1,23,0,3,1,1,1,19,20
277,2011-01-13,1,0,0,4,1,1,1,6,7
278,2011-01-13,1,1,0,4,1,1,0,2,2
279,2011-01-13,1,2,0,4,1,1,0,2,2
280,2011-01-13,1,3,0,4,1,1,0,3,3
281,2011-01-13,1,4,0,4,1,1,0,4,4
282,2011-01-13,1,5,0,4,1,1,0,3,3
283,2011-01-13,1,6,0,4,1,1,0,28,28
284,2011-01-13,1,7,0,4,1,1,0,72,72
285,2011-01-13,1,8,0,4,1,1,5,197,202
286,2011-01-13,1,9,0,4,1,1,2,137,139
287,2011-01-13,1,10,0,4,1,2,2,36,38
288,2011-01-13,1,11,0,4,1,2,4,33,37
289,2011-01-13,1,12,0,4,1,1,3,49,52
290,2011-01-13,1,13,0,4,1,1,2,81,83
291,2011-01-13,1,14,0,4,1,1,3,39,42
292,2011-01-13,1,15,0,4,1,1,5,55,60
293,2011-01-13,1,16,0,4,1,1,2,76,78
294,2011-01-13,1,17,0,4,1,1,4,158,162
295,2011-01-13,1,18,0,4,1,1,3,141,144
296,2011-01-13,1,19,0,4,1,1,1,98,99
297,2011-01-13,1,20,0,4,1,1,0,64,64
298,2011-01-13,1,21,0,4,1,1,0,40,40
299,2011-01-13,1,22,0,4,1,1,0,30,30
300,2011-01-13,1,23,0,4,1,1,1,14,15
301,2011-01-14,1,0,0,5,1,1,0,14,14
302,2011-01-14,1,1,0,5,1,1,0,5,5
303,2011-01-14,1,2,0,5,1,1,0,1,1
304,2011-01-14,1,3,0,5,1,1,0,1,1
305,2011-01-14,1,5,0,5,1,1,0,8,8
306,2011-01-14,1,6,0,5,1,1,0,17,17
307,2011-01-14,1,7,0,5,1,1,0,70,70
308,2011-01-14,1,8,0,5,1,1,2,156,158
309,2011-01-14,1,9,0,5,1,1,0,117,117
310,2011-01-14,1,10,0,5,1,1,4,40,44
311,2011-01-14,1,11,0,5,1,1,6,47,53
312,2011-01-14,1,12,0,5,1,1,2,59,61
313,2011-01-14,1,13,0,5,1,1,4,73,77
314,2011-01-14,1,14,0,5,1,1,5,59,64
315,2011-01-14,1,15,0,5,1,1,9,59,68
316,2011-01-14,1,16,0,5,1,1,3,87,90
317,2011-01-14,1,17,0,5,1,1,4,155,159
318,2011-01-14,1,18,0,5,1,1,5,134,139
319,2011-01-14,1,19,0,5,1,1,3,89,92
320,2011-01-14,1,20,0,5,1,1,0,68,68
321,2011-01-14,1,21,0,5,1,1,4,48,52
322,2011-01-14,1,22,0,5,1,2,2,34,36
323,2011-01-14,1,23,0,5,1,2,1,26,27
324,2011-01-15,1,0,0,6,0,1,3,25,28
325,2011-01-15,1,1,0,6,0,2,2,18,20
326,2011-01-15,1,2,0,6,0,2,0,12,12
327,2011-01-15,1,3,0,6,0,2,1,7,8
328,2011-01-15,1,4,0,6,0,2,0,5,5
329,2011-01-15,1,5,0,6,0,1,0,1,1
330,2011-01-15,1,6,0,6,0,1,1,2,3
331,2011-01-15,1,7,0,6,0,1,1,9,10
332,2011-01-15,1,8,0,6,0,1,1,22,23
333,2011-01-15,1,9,0,6,0,1,2,31,33
334,2011-01-15,1,10,0,6,0,1,2,57,59
335,2011-01-15,1,11,0,6,0,1,18,54,72
336,2011-01-15,1,12,0,6,0,1,15,74,89
337,2011-01-15,1,13,0,6,0,1,21,80,101
338,2011-01-15,1,14,0,6,0,1,26,92,118
339,2011-01-15,1,15,0,6,0,2,21,108,129
340,2011-01-15,1,16,0,6,0,2,33,95,128
341,2011-01-15,1,17,0,6,0,2,29,54,83
342,2011-01-15,1,18,0,6,0,2,15,69,84
343,2011-01-15,1,19,0,6,0,2,14,60,74
344,2011-01-15,1,20,0,6,0,2,6,35,41
345,2011-01-15,1,21,0,6,0,2,6,51,57
346,2011-01-15,1,22,0,6,0,2,0,26,26
347,2011-01-15,1,23,0,6,0,1,5,39,44
348,2011-01-16,1,0,0,0,0,1,6,33,39
349,2011-01-16,1,1,0,0,0,1,4,19,23
350,2011-01-16,1,2,0,0,0,1,3,13,16
351,2011-01-16,1,3,0,0,0,1,9,6,15
352,2011-01-16,1,4,0,0,0,1,0,1,1
353,2011-01-16,1,5,0,0,0,2,1,1,2
354,2011-01-16,1,6,0,0,0,2,0,1,1
355,2011-01-16,1,7,0,0,0,2,0,3,3
356,2011-01-16,1,8,0,0,0,1,0,18,18
357,2011-01-16,1,9,0,0,0,1,3,29,32
358,2011-01-16,1,10,0,0,0,1,8,71,79
359,2011-01-16,1,11,0,0,0,1,23,70,93
360,2011-01-16,1,12,0,0,0,1,29,75,104
361,2011-01-16,1,13,0,0,0,1,23,95,118
362,2011-01-16,1,14,0,0,0,1,22,69,91
363,2011-01-16,1,15,0,0,0,1,35,78,113
364,2011-01-16,1,16,0,0,0,1,22,77,99
365,2011-01-16,1,17,0,0,0,1,23,82,105
366,2011-01-16,1,18,0,0,0,1,11,56,67
367,2011-01-16,1,19,0,0,0,1,14,47,61
368,2011-01-16,1,20,0,0,0,1,7,50,57
369,2011-01-16,1,21,0,0,0,1,6,22,28
370,2011-01-16,1,22,0,0,0,2,2,19,21
371,2011-01-16,1,23,0,0,0,2,0,18,18
372,2011-01-17,1,0,1,1,0,2,1,16,17
373,2011-01-17,1,1,1,1,0,2,1,15,16
374,2011-01-17,1,2,1,1,0,2,0,8,8
375,2011-01-17,1,3,1,1,0,2,0,2,2
376,2011-01-17,1,4,1,1,0,2,1,2,3
377,2011-01-17,1,5,1,1,0,2,0,1,1
378,2011-01-17,1,6,1,1,0,2,0,5,5
379,2011-01-17,1,7,1,1,0,2,4,9,13
380,2011-01-17,1,8,1,1,0,2,3,30,33
381,2011-01-17,1,9,1,1,0,2,8,39,47
382,2011-01-17,1,10,1,1,0,2,7,50,57
383,2011-01-17,1,11,1,1,0,2,9,55,64
384,2011-01-17,1,12,1,1,0,2,10,70,80
385,2011-01-17,1,13,1,1,0,2,13,80,93
386,2011-01-17,1,14,1,1,0,2,12,74,86
387,2011-01-17,1,15,1,1,0,2,21,72,93
388,2011-01-17,1,16,1,1,0,2,6,76,82
389,2011-01-17,1,17,1,1,0,1,4,67,71
390,2011-01-17,1,18,1,1,0,2,7,85,92
391,2011-01-17,1,19,1,1,0,3,2,58,60
392,2011-01-17,1,20,1,1,0,3,4,29,33
393,2011-01-17,1,21,1,1,0,3,3,24,27
394,2011-01-17,1,22,1,1,0,3,0,13,13
395,2011-01-17,1,23,1,1,0,3,1,3,4
396,2011-01-18,1,12,0,2,1,2,0,3,3
397,2011-01-18,1,13,0,2,1,2,0,22,22
398,2011-01-18,1,14,0,2,1,2,2,26,28
399,2011-01-18,1,15,0,2,1,2,3,32,35
400,2011-01-18,1,16,0,2,1,2,0,61,61
401,2011-01-18,1,17,0,2,1,2,1,124,125
402,2011-01-18,1,18,0,2,1,2,1,132,133
403,2011-01-18,1,19,0,2,1,2,1,98,99
404,2011-01-18,1,20,0,2,1,2,0,83,83
405,2011-01-18,1,21,0,2,1,2,0,41,41
406,2011-01-18,1,22,0,2,1,2,0,33,33
407,2011-01-18,1,23,0,2,1,2,1,19,20
408,2011-01-19,1,0,0,3,1,2,0,3,3
409,2011-01-19,1,1,0,3,1,3,1,6,7
410,2011-01-19,1,2,0,3,1,3,0,3,3
411,2011-01-19,1,4,0,3,1,3,1,1,2
412,2011-01-19,1,5,0,3,1,2,0,7,7
413,2011-01-19,1,6,0,3,1,2,0,32,32
414,2011-01-19,1,7,0,3,1,2,1,89,90
415,2011-01-19,1,8,0,3,1,2,1,196,197
416,2011-01-19,1,9,0,3,1,2,2,107,109
417,2011-01-19,1,10,0,3,1,2,1,46,47
418,2011-01-19,1,11,0,3,1,2,5,47,52
419,2011-01-19,1,12,0,3,1,2,5,65,70
420,2011-01-19,1,13,0,3,1,1,11,67,78
421,2011-01-19,1,14,0,3,1,1,7,68,75
422,2011-01-19,1,15,0,3,1,1,4,78,82
423,2011-01-19,1,16,0,3,1,1,10,94,104
424,2011-01-19,1,17,0,3,1,1,7,190,197
425,2011-01-19,1,18,0,3,1,1,5,156,161
426,2011-01-19,1,19,0,3,1,1,4,108,112
427,2011-01-19,1,20,0,3,1,1,2,74,76
428,2011-01-19,1,21,0,3,1,1,4,55,59
429,2011-01-19,1,22,0,3,1,1,6,53,59
430,2011-01-19,1,23,0,3,1,1,1,27,28
431,2011-01-20,1,0,0,4,1,1,5,8,13
432,2011-01-20,1,1,0,4,1,1,2,3,5
433,2011-01-20,1,2,0,4,1,1,0,2,2
434,2011-01-20,1,3,0,4,1,1,0,1,1
435,2011-01-20,1,4,0,4,1,1,0,1,1
436,2011-01-20,1,5,0,4,1,1,0,6,6
437,2011-01-20,1,6,0,4,1,1,0,35,35
438,2011-01-20,1,7,0,4,1,1,1,100,101
439,2011-01-20,1,8,0,4,1,1,2,247,249
440,2011-01-20,1,9,0,4,1,2,3,140,143
441,2011-01-20,1,10,0,4,1,1,1,56,57
442,2011-01-20,1,11,0,4,1,2,5,63,68
443,2011-01-20,1,12,0,4,1,2,7,77,84
444,2011-01-20,1,13,0,4,1,2,12,86,98
445,2011-01-20,1,14,0,4,1,2,6,75,81
446,2011-01-20,1,15,0,4,1,2,8,62,70
447,2011-01-20,1,16,0,4,1,2,8,83,91
448,2011-01-20,1,17,0,4,1,2,8,207,215
449,2011-01-20,1,18,0,4,1,2,1,184,185
450,2011-01-20,1,19,0,4,1,1,6,146,152
451,2011-01-20,1,20,0,4,1,2,2,124,126
452,2011-01-20,1,21,0,4,1,2,3,54,57
453,2011-01-20,1,22,0,4,1,2,0,56,56
454,2011-01-20,1,23,0,4,1,2,3,28,31
455,2011-01-21,1,0,0,5,1,2,1,20,21
456,2011-01-21,1,1,0,5,1,2,0,6,6
457,2011-01-21,1,2,0,5,1,3,0,2,2
458,2011-01-21,1,3,0,5,1,3,0,1,1
459,2011-01-21,1,4,0,5,1,2,0,1,1
460,2011-01-21,1,5,0,5,1,1,1,4,5
461,2011-01-21,1,6,0,5,1,1,0,27,27
462,2011-01-21,1,7,0,5,1,1,2,66,68
463,2011-01-21,1,8,0,5,1,1,7,210,217
464,2011-01-21,1,9,0,5,1,1,7,159,166
465,2011-01-21,1,10,0,5,1,1,6,57,63
466,2011-01-21,1,11,0,5,1,1,6,53,59
467,2011-01-21,1,12,0,5,1,1,11,67,78
468,2011-01-21,1,13,0,5,1,1,8,65,73
469,2011-01-21,1,14,0,5,1,1,6,56,62
470,2011-01-21,1,15,0,5,1,1,4,61,65
471,2011-01-21,1,16,0,5,1,1,0,97,97
472,2011-01-21,1,17,0,5,1,1,10,151,161
473,2011-01-21,1,18,0,5,1,1,1,119,120
474,2011-01-21,1,19,0,5,1,1,3,93,96
475,2011-01-21,1,20,0,5,1,1,1,52,53
476,2011-01-21,1,21,0,5,1,1,0,41,41
477,2011-01-21,1,22,0,5,1,1,1,33,34
478,2011-01-21,1,23,0,5,1,1,0,27,27
479,2011-01-22,1,0,0,6,0,1,0,13,13
480,2011-01-22,1,1,0,6,0,2,3,9,12
481,2011-01-22,1,2,0,6,0,2,0,11,11
482,2011-01-22,1,3,0,6,0,2,1,6,7
483,2011-01-22,1,4,0,6,0,2,0,3,3
484,2011-01-22,1,6,0,6,0,2,0,2,2
485,2011-01-22,1,7,0,6,0,1,0,8,8
486,2011-01-22,1,8,0,6,0,1,1,26,27
487,2011-01-22,1,9,0,6,0,1,3,37,40
488,2011-01-22,1,10,0,6,0,2,3,50,53
489,2011-01-22,1,11,0,6,0,2,4,59,63
490,2011-01-22,1,12,0,6,0,2,10,60,70
491,2011-01-22,1,13,0,6,0,1,12,72,84
492,2011-01-22,1,14,0,6,0,1,11,64,75
493,2011-01-22,1,15,0,6,0,1,10,93,103
494,2011-01-22,1,16,0,6,0,1,11,72,83
495,2011-01-22,1,17,0,6,0,1,8,59,67
496,2011-01-22,1,18,0,6,0,1,0,54,54
497,2011-01-22,1,19,0,6,0,1,6,53,59
498,2011-01-22,1,20,0,6,0,1,1,44,45
499,2011-01-22,1,21,0,6,0,1,0,39,39
500,2011-01-22,1,22,0,6,0,1,7,23,30
501,2011-01-22,1,23,0,6,0,1,2,31,33
502,2011-01-23,1,0,0,0,0,1,2,20,22
503,2011-01-23,1,1,0,0,0,1,1,12,13
504,2011-01-23,1,2,0,0,0,1,3,15,18
505,2011-01-23,1,3,0,0,0,1,1,4,5
506,2011-01-23,1,5,0,0,0,2,0,3,3
507,2011-01-23,1,6,0,0,0,2,0,1,1
508,2011-01-23,1,7,0,0,0,1,1,1,2
509,2011-01-23,1,8,0,0,0,1,2,17,19
510,2011-01-23,1,9,0,0,0,1,3,25,28
511,2011-01-23,1,10,0,0,0,1,7,51,58
512,2011-01-23,1,11,0,0,0,1,22,77,99
513,2011-01-23,1,12,0,0,0,1,24,92,116
514,2011-01-23,1,13,0,0,0,1,12,75,87
515,2011-01-23,1,14,0,0,0,1,17,93,110
